id	BTAS.1	BTAS.2	BTAS.3	BTAS.4	BTAS.6	MTAS.1	MTAS.2	MTAS.3	MTAS.4	MTAS.5	MTAS.6
PCHAS_0613500	3356	1817	1318	3370	1815	1952	1517	1294	1659	1101	1567
PCHAS_0613600	250	145	90	238	141	111	101	70	119	64	93
PCHAS_0613700	836	646	361	1117	431	281	382	243	426	180	226
PCHAS_0613800	1599	1011	591	1803	950	479	632	437	725	255	346
PCHAS_0613900	9249	4881	2683	10168	6033	7016	4548	4018	4755	4263	4646
PCHAS_0614000	2817	1576	1019	3054	1603	1494	1448	1214	1550	830	1149
PCHAS_0614100	3184	1378	464	4674	2341	736	295	285	634	508	499
PCHAS_0614200	964	858	388	1313	489	371	532	331	427	253	356
PCHAS_0614300	933	523	409	1043	525	361	393	325	425	234	259
PCHAS_0614400	663	468	273	759	352	284	369	212	321	153	244
PCHAS_0614500	1221	659	343	1243	707	401	461	309	477	184	296
PCHAS_0614600	115	63	8	254	83	34	13	10	13	33	35
PCHAS_0614700	5990	3235	1927	6145	3428	3834	2596	2524	2873	1987	2729
PCHAS_0614800	3021	1984	1571	3894	2045	1331	1683	1189	1695	801	1023
PCHAS_0614900	15720	8651	6853	18453	9997	15562	12201	9689	11769	7513	10655
PCHAS_0615000	16331	11751	5945	20552	9374	11704	9480	7260	9479	5138	7820
PCHAS_0615100	691	666	444	946	383	275	379	220	332	129	187
PCHAS_0615200	881	569	319	946	406	186	268	183	341	109	207
PCHAS_0615300	324	226	165	437	243	125	152	91	181	75	82
PCHAS_0615400	2983	2101	1412	4087	2114	2300	2239	1559	2433	1220	1882
PCHAS_0615500	222	130	106	282	230	95	101	64	163	53	190
PCHAS_0615600	238	138	187	283	286	122	109	93	198	56	193
PCHAS_0615700	27923	19452	11980	32725	15010	17753	13781	11458	14389	9197	12430
PCHAS_0615800	1283	1411	727	1854	652	522	704	422	699	243	366
PCHAS_0615900	167	166	91	220	77	75	46	36	82	28	34
PCHAS_0616000	1171	795	486	1287	621	718	623	499	679	460	454
PCHAS_0616100	673	510	371	930	408	181	284	191	350	96	214
PCHAS_0616200	3015	2261	1316	4101	1823	847	1061	668	1326	459	755
PCHAS_0616300	3557	2513	999	3797	1859	1274	1217	960	1315	864	978
PCHAS_0616400	519	454	352	655	278	132	178	112	246	96	126
PCHAS_0616500	1214	855	521	1388	740	514	633	390	585	323	442
PCHAS_0616600	1556	910	429	1652	746	902	630	618	656	559	642
PCHAS_0616700	2277	1611	811	2611	1160	1796	1217	1103	1403	959	1150
PCHAS_0616800	111	75	77	139	70	53	36	38	84	28	84
PCHAS_0616900	3594	1890	1010	3807	2094	1798	1143	1007	1233	1057	1194
PCHAS_0617000	2189	1200	586	2369	1357	1293	854	744	958	875	809
PCHAS_0617100	2282	1792	975	2997	1270	1060	1363	776	1405	602	792
PCHAS_0617200	92	71	37	137	63	38	35	20	38	16	32
PCHAS_0617300	462	401	242	658	315	249	290	201	302	125	161
PCHAS_0617400	927	651	448	1363	578	277	113	108	184	201	191
PCHAS_0617500	11378	6660	3710	13189	6954	7673	6917	5277	6741	4171	5627
PCHAS_0617600	54	32	12	32	13	20	10	6	6	6	24
PCHAS_0617700	400	474	173	532	269	200	268	154	314	85	168
PCHAS_0617800	1633	1482	989	2146	931	397	484	340	530	276	341
PCHAS_0617900	27	36	21	53	41	16	5	6	24	6	20
PCHAS_0618000	253	152	131	322	142	31	60	49	96	33	48
PCHAS_0618100	13	10	3	19	5	1	7	0	2	5	3
PCHAS_0618200	389	343	256	567	228	214	227	161	202	104	190
