id	BTCB.1	BTCB.2	BTCB.3	BTCB.4	BTCB.5	BTCB.6	MTCB.1	MTCB.2	MTCB.3	MTCB.4	MTCB.5	MTCB.6
PCHCB_0717300	5298	6083	8975	5046	8258	7072	7805	5051	4073	8825	4593	7798
PCHCB_0717400	14	23	21	7	25	15	6	7	2	5	3	15
PCHCB_0717500	32	40	45	20	33	40	42	17	11	11	13	23
PCHCB_0717600	660	590	918	635	658	760	552	555	318	1484	601	915
PCHCB_0717700	216	164	465	177	275	217	218	112	221	357	201	206
PCHCB_0717750	127	100	229	99	127	125	143	76	90	181	95	140
PCHCB_0717800	81	113	226	99	156	137	112	86	147	196	83	119
PCHCB_0717900	537	536	1164	461	735	656	435	365	510	760	495	572
PCHCB_0718000	218	244	501	161	253	321	148	197	347	534	216	293
PCHCB_0718100	2362	2645	4289	2600	1759	1988	2590	1791	1333	2931	1723	2690
PCHCB_0718200	3924	3967	6230	3520	4359	4223	3773	2812	2525	6047	3060	4522
PCHCB_0718300	638	557	985	518	661	550	496	312	388	725	499	577
PCHCB_0718400	69	59	133	75	118	113	100	62	64	95	64	77
PCHCB_0718500	2435	2929	4033	2167	2612	3171	5964	2479	1694	2908	1831	3373
PCHCB_0718600	671	675	1244	623	958	687	704	403	476	873	585	730
PCHCB_0718700	336	356	707	331	349	363	649	243	269	431	258	383
PCHCB_0718800	2915	2536	3794	3000	2592	2759	4630	1770	1426	2889	2179	2888
PCHCB_0718900	3290	2921	3509	3285	2245	2954	7473	2373	1660	2205	2376	3494
PCHCB_0719000	1927	1645	2663	1690	1453	1287	2035	740	796	1617	1207	1428
PCHCB_0719100	623	572	1120	528	722	640	568	295	485	831	477	506
PCHCB_0719200	1335	1295	1944	1134	1720	1337	1142	795	881	1696	1072	1246
PCHCB_0719300	215	272	208	168	134	267	862	304	147	174	193	334
PCHCB_0719400	1202	1110	1581	1128	1234	1248	1753	750	734	1471	859	1215
PCHCB_0719500	230	232	506	226	327	294	181	193	262	452	259	298
PCHCB_0719600	2944	2636	4741	2722	3457	3324	3527	1124	1748	2523	1662	2144
PCHCB_0719700	806	800	1540	663	1028	891	549	441	756	1121	661	828
PCHCB_0719800	173	142	335	102	206	206	127	106	165	232	117	98
PCHCB_0719900	2849	2194	4402	2404	2495	1871	1619	728	1150	2107	1607	1562
PCHCB_0720000	246	258	587	217	358	355	292	270	246	564	308	425
PCHCB_0720100	79	127	120	82	79	130	25	17	14	36	24	30
PCHCB_0720200	1032	840	1399	884	747	829	1398	537	535	1045	703	794
PCHCB_0720300	1845	2105	3241	1773	2372	2306	2192	919	1087	1785	1368	1783
PCHCB_0720400	12	25	15	14	14	12	10	6	2	5	5	9
PCHCB_0720500	7	1	17	5	7	10	9	6	9	10	4	9
PCHCB_0720600	152	205	373	130	243	207	134	100	214	232	129	192
PCHCB_0720700	14	26	15	9	13	18	15	11	15	24	3	20
PCHCB_0720800	92	120	196	63	167	114	108	38	118	144	67	75
PCHCB_0720900	1081	892	1645	1001	1112	900	794	489	459	1115	660	876
PCHCB_0721000	34464	33554	64332	32509	43262	37157	35505	25205	28522	53527	30504	40781
PCHCB_0721100	393	398	874	346	623	541	427	203	340	606	299	374
PCHCB_0721200	6940	5620	8693	7027	4791	4898	6698	2506	1967	4018	3593	4383
PCHCB_0721300	147	491	163	211	176	274	152	135	40	61	54	162
PCHCB_0721400	1625	1631	2578	1460	2175	2141	2252	1089	982	1805	1164	1756
PCHCB_0721500	175	226	326	135	235	242	213	152	198	347	166	253
PCHCB_0721600	26	29	21	27	19	5	41	16	29	30	17	25
PCHCB_0721700	29801	28266	47715	27851	27235	27018	30421	20624	17545	39401	22310	35446
PCHCB_0721800	268	413	475	311	322	380	808	357	200	403	220	469
PCHCB_0721900	231	244	382	199	360	279	181	111	150	207	115	209
PCHCB_0722000	932	1678	1831	926	2076	1977	1244	857	520	1031	478	1233
PCHCB_0722100	668	804	974	649	614	727	1026	512	370	1150	546	934
PCHCB_0722200	6033	7275	5150	5319	5287	6430	26532	6130	3030	2917	4057	8363
PCHCB_0722300	476	707	562	450	477	601	1954	508	263	217	267	642
PCHCB_0722400	1957	1957	3640	1851	2090	2048	1911	1479	1385	3105	1651	2539
PCHCB_0722500	212	172	422	153	281	239	191	126	197	344	177	211
PCHCB_0722600	2229	2161	3493	1928	3217	2760	1641	622	690	1405	1055	1179
PCHCB_0722700	1476	1623	2198	1594	1641	1731	1973	846	706	1522	1030	1267
PCHCB_0722800	236	255	544	221	363	337	233	100	216	261	140	148
PCHCB_0722900	230	235	522	249	338	263	267	180	197	560	271	283
PCHCB_0723000	42	68	80	41	58	56	124	32	35	18	20	49
PCHCB_0723100	94	333	103	163	109	190	87	91	20	33	42	66
PCHCB_0723200	157	131	263	95	183	191	96	84	141	202	89	131
PCHCB_0723300	1972	1804	3484	1957	2331	1705	1276	760	999	2381	1374	1472
PCHCB_0723400	28	153	46	43	39	64	39	27	14	13	14	42
PCHCB_0723500	887	825	1475	755	739	776	1007	598	553	1296	722	1120
PCHCB_0723600	36	61	53	29	28	37	31	16	16	26	18	19
PCHCB_0723700	369	502	438	357	278	338	877	306	191	290	293	422
PCHCB_0723800	79	101	171	78	144	126	84	86	77	187	79	143
PCHCB_0723900	185	234	415	156	359	328	146	121	150	221	118	217
PCHCB_0724000	43	36	26	41	18	33	70	15	9	38	21	33
PCHCB_0724100	3737	3044	4643	3633	2714	2780	4383	1506	1279	2645	2012	2612
PCHCB_0724200	445	409	1165	435	431	504	609	266	350	631	292	420
PCHCB_0724300	1114	1134	2119	950	1605	1292	847	662	883	1620	839	1201
PCHCB_0724400	1590	1322	2059	1746	1005	1174	2027	553	473	746	916	936
PCHCB_0724500	2314	2156	3682	2326	1980	2004	2490	1363	1273	2948	1797	2157
PCHCB_0724600	910	959	1148	694	854	891	2151	825	701	1046	809	1203
PCHCB_0724700	5456	5276	7469	5017	4684	4465	5747	3151	2593	6646	4112	5490
PCHCB_0724800	1707	1591	2596	1563	1429	1553	2699	1320	1073	2290	1282	2156
PCHCB_0724900	1030	852	1612	876	878	906	1255	546	687	1297	847	1042
PCHCB_0725000	1367	1320	2776	1252	1545	1366	1216	666	1024	1801	1056	1172
PCHCB_0725100	8842	6721	11672	8912	5908	5894	7347	2766	2515	6303	4393	5092
PCHCB_0725200	429	362	869	316	676	473	367	202	470	592	305	418
PCHCB_0725300	540	466	572	593	357	449	983	395	167	489	356	600
PCHCB_0725400	156	164	280	148	172	201	291	135	95	226	127	176
PCHCB_0725500	18	10	12	18	11	8	19	7	6	14	8	19
PCHCB_0725600	109	142	197	120	151	178	113	51	23	102	55	62
PCHCB_0725700	461	536	539	449	377	446	793	374	234	493	420	657
PCHCB_0725800	749	689	1231	645	696	681	959	391	470	795	571	610
PCHCB_0725900	28	14	0	2	12	12	15	7	11	25	22	26
PCHCB_0726000	209	416	282	204	334	440	1246	509	203	162	172	577
PCHCB_0726100	421	369	923	386	599	521	365	272	455	818	315	413
PCHCB_0726200	56	81	195	48	74	96	57	28	84	129	61	58
PCHCB_0726300	4313	3193	5157	4133	2443	2468	3248	913	1057	2245	1927	1911
PCHCB_0726400	1380	1050	1526	1283	819	692	819	292	256	601	586	643
PCHCB_0726500	1276	1081	1901	1122	1255	1201	1051	719	737	1901	948	1381
PCHCB_0726600	831	860	1475	790	1074	1010	849	682	582	1580	697	1148
PCHCB_0726700	54	82	161	44	102	101	75	47	69	77	59	60
PCHCB_0726800	943	796	1408	803	761	759	1119	490	597	1081	697	817
PCHCB_0726900	5637	5666	9836	5111	6368	5427	4877	3465	3678	6826	4226	6256
PCHCB_0727000	255	240	431	269	233	234	382	180	171	320	234	321
PCHCB_0727100	19	15	19	15	15	19	27	12	13	25	14	8
PCHCB_0727200	287	281	592	289	390	295	185	164	255	452	244	285
PCHCB_0727300	156	142	252	113	128	135	201	104	104	235	137	178
PCHCB_0727400	1128	854	1798	1120	1037	824	1031	602	575	1611	930	1112
PCHCB_0727500	5591	4300	7358	5580	4245	3962	4819	2386	2146	5557	3643	4578
PCHCB_0727600	312	351	843	280	462	402	375	208	328	535	308	354
PCHCB_0727700	209	152	402	138	229	242	133	111	208	287	181	173
PCHCB_0727800	964	853	1016	972	752	928	1257	464	272	956	551	1057
PCHCB_0727900	4436	4262	6088	4194	3784	4077	7334	3856	2571	5025	3354	5869
PCHCB_0728000	1050	792	2167	883	1167	1041	798	438	785	1747	789	883
PCHCB_0728100	127	366	201	168	199	286	136	133	31	75	60	85
PCHCB_0728200	0	6	18	11	1	7	2	1	1	5	2	7
PCHCB_0728300	2534	2273	4204	2420	2579	2391	2806	1906	1973	4303	2491	3223
PCHCB_0728400	473	487	979	406	764	599	557	226	400	476	302	402
PCHCB_0728500	1856	1898	3061	1695	2635	2462	3624	947	1156	1793	1093	1551
PCHCB_0728600	150	162	320	131	223	205	90	83	153	189	112	118
PCHCB_0728700	33	76	54	33	38	66	10	13	2	1	9	6
PCHCB_0728800	31	38	25	11	15	14	14	1	2	2	1	6
PCHCB_0728900	432	384	605	383	338	322	413	176	226	494	300	317
PCHCB_0729000	126	120	166	103	100	150	99	77	48	99	65	87
PCHCB_0729100	133	182	244	179	162	327	74	45	15	58	35	71
PCHCB_0729200	670	641	1352	693	1178	944	534	342	537	771	483	637
