id	BTCB	MTCB
PCHCB_0111300	12.7925563333333	17.2563628333333
PCHCB_0111400	16.1276028333333	7.44081916666667
PCHCB_0111500	11.9947606666667	13.6041555
PCHCB_0111600	183.5566695	333.375765666667
PCHCB_0111700	128.783866333333	131.964291166667
PCHCB_0111800	80.9854061666667	63.6212046666667
PCHCB_0111900	260.908342666667	315.950521833333
PCHCB_0112000	155.184718166667	248.6577
PCHCB_0112100	154.181263166667	239.2098745
PCHCB_0112200	32.7343643333333	49.8340098333333
PCHCB_0112300	116.380570666667	162.586072166667
PCHCB_0112400	19.0381238333333	20.0296076666667
PCHCB_0112500	12.3814763333333	21.4247456666667
PCHCB_0112600	41.5514286666667	45.6838143333333
PCHCB_0112700	210.470889833333	220.264975333333
PCHCB_0112800	38.8830841666667	41.357214
PCHCB_0112900	10.8582066666667	15.0662416666667
